Дата создания заказа,Дата утверждения заказа,Номер контракта,Номер строки в заказе/релизе,Код позиции ЕНС,Наименование позиции ЕНС,Единица измерения,Заказанное количество,Полученное количество,В пути,Длина,Ширина,Высота,Объём,Общий объём,Организация-получатель,Дата исполнения заказа/договора
2020-03-05,2020-04-09,D190000019_1,4,144.022.000725,"Модуль оптический SFP Huawei, SM, 1310нм, 6.144Гбит/с, 2км (OSV002N01)",штука,944,0,944,",07",",02",",01",",000014",",013216",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,5,144.022.000725,"Модуль оптический SFP Huawei, SM, 1310нм, 6.144Гбит/с, 2км (OSV002N01)",штука,787,0,787,",07",",02",",01",",000014",",011018",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,6,144.022.000725,"Модуль оптический SFP Huawei, SM, 1310нм, 6.144Гбит/с, 2км (OSV002N01)",штука,1102,0,1102,",07",",02",",01",",000014",",015428",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,7,144.022.000725,"Модуль оптический SFP Huawei, SM, 1310нм, 6.144Гбит/с, 2км (OSV002N01)",штука,944,0,944,",07",",02",",01",",000014",",013216",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,35,248.346.000208,"Кабель питания Huawei 2х10мм2, цвет черный (C1050GR01)",Метр,176,169,7,",84",",44",",84",",000620928",",109283328",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,37,144.022.000834,"Комплект CPRI DLC2FC00GE10 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 10м SWAP",штука,11,4,7,",38",",38",",05",",00722",",07942",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,38,144.022.000834,"Комплект CPRI DLC2FC00GE10 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 10м SWAP",штука,7,0,7,",38",",38",",05",",00722",",05054",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,39,144.022.000834,"Комплект CPRI DLC2FC00GE10 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 10м SWAP",штука,9,0,9,",38",",38",",05",",00722",",06498",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,40,144.022.000834,"Комплект CPRI DLC2FC00GE10 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 10м SWAP",штука,7,0,7,",38",",38",",05",",00722",",05054",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,41,144.022.000834,"Комплект CPRI DLC2FC00GE10 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 10м SWAP",штука,11,0,11,",38",",38",",05",",00722",",07942",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,42,144.022.000834,"Комплект CPRI DLC2FC00GE10 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 10м SWAP",штука,9,0,9,",38",",38",",05",",00722",",06498",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,43,144.022.000835,"Комплект CPRI DLC2FC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 20м SWAP",штука,448,230,218,",38",",38",",05",",00722","3,23456",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,44,144.022.000835,"Комплект CPRI DLC2FC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 20м SWAP",штука,49,0,49,",38",",38",",05",",00722",",35378",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,45,144.022.000835,"Комплект CPRI DLC2FC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 20м SWAP",штука,35,0,35,",38",",38",",05",",00722",",2527",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,46,144.022.000835,"Комплект CPRI DLC2FC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 20м SWAP",штука,42,0,42,",38",",38",",05",",00722",",30324",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,47,144.022.000835,"Комплект CPRI DLC2FC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 20м SWAP",штука,35,0,35,",38",",38",",05",",00722",",2527",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,48,144.022.000835,"Комплект CPRI DLC2FC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 20м SWAP",штука,49,0,49,",38",",38",",05",",00722",",35378",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,49,144.022.000835,"Комплект CPRI DLC2FC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2FC 20м SWAP",штука,42,0,42,",38",",38",",05",",00722",",30324",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,50,144.022.000836,"Комплект CPRI DLC2LC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2LC 20м SWAP",штука,256,200,56,",4",",4",",3",",048","12,288",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,51,144.022.000836,"Комплект CPRI DLC2LC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2LC 20м SWAP",штука,28,0,28,",4",",4",",3",",048","1,344",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,52,144.022.000836,"Комплект CPRI DLC2LC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2LC 20м SWAP",штука,20,0,20,",4",",4",",3",",048",",96",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,53,144.022.000836,"Комплект CPRI DLC2LC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2LC 20м SWAP",штука,24,0,24,",4",",4",",3",",048","1,152",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,54,144.022.000836,"Комплект CPRI DLC2LC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2LC 20м SWAP",штука,20,0,20,",4",",4",",3",",048",",96",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,55,144.022.000836,"Комплект CPRI DLC2LC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2LC 20м SWAP",штука,28,0,28,",4",",4",",3",",048","1,344",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,56,144.022.000836,"Комплект CPRI DLC2LC00GE20 в составе: модуль SFP 1310нм 1.25Гбит/с 10км, кабель DLC-2LC 20м SWAP",штука,24,0,24,",4",",4",",3",",048","1,152",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,57,238.022.000021,"Джамп кабель 1/2, 3м 7/16(Male)-4.3-10(Male) (RA100003)",штука,1408,1294,114,",35",",38",",38",",005054","7,116032",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,58,238.022.000021,"Джамп кабель 1/2, 3м 7/16(Male)-4.3-10(Male) (RA100003)",штука,154,151,3,",35",",38",",38",",005054",",778316",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,59,238.022.000021,"Джамп кабель 1/2, 3м 7/16(Male)-4.3-10(Male) (RA100003)",штука,110,50,60,",35",",38",",38",",005054",",55594",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,60,238.022.000021,"Джамп кабель 1/2, 3м 7/16(Male)-4.3-10(Male) (RA100003)",штука,132,0,132,",35",",38",",38",",005054",",667128",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,61,238.022.000021,"Джамп кабель 1/2, 3м 7/16(Male)-4.3-10(Male) (RA100003)",штука,110,0,110,",35",",38",",38",",005054",",55594",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,62,238.022.000021,"Джамп кабель 1/2, 3м 7/16(Male)-4.3-10(Male) (RA100003)",штука,154,0,154,",35",",38",",38",",005054",",778316",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,63,238.022.000021,"Джамп кабель 1/2, 3м 7/16(Male)-4.3-10(Male) (RA100003)",штука,132,0,132,",35",",38",",38",",005054",",667128",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,64,238.022.000038,"Джамп-кабель 1/2"" сверхгибкий 7/16 male-7/16 male, 3м (GM1P000JMP05)",штука,307,232,75,",37",",37",",04",",005476","1,681132",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,65,238.022.000038,"Джамп-кабель 1/2"" сверхгибкий 7/16 male-7/16 male, 3м (GM1P000JMP05)",штука,34,30,4,",37",",37",",04",",005476",",186184",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,66,238.022.000038,"Джамп-кабель 1/2"" сверхгибкий 7/16 male-7/16 male, 3м (GM1P000JMP05)",штука,24,0,24,",37",",37",",04",",005476",",131424",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,67,238.022.000038,"Джамп-кабель 1/2"" сверхгибкий 7/16 male-7/16 male, 3м (GM1P000JMP05)",штука,29,0,29,",37",",37",",04",",005476",",158804",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,68,238.022.000038,"Джамп-кабель 1/2"" сверхгибкий 7/16 male-7/16 male, 3м (GM1P000JMP05)",штука,24,0,24,",37",",37",",04",",005476",",131424",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,69,238.022.000038,"Джамп-кабель 1/2"" сверхгибкий 7/16 male-7/16 male, 3м (GM1P000JMP05)",штука,34,0,34,",37",",37",",04",",005476",",186184",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,70,238.022.000038,"Джамп-кабель 1/2"" сверхгибкий 7/16 male-7/16 male, 3м (GM1P000JMP05)",штука,29,0,29,",37",",37",",04",",005476",",158804",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,78,238.022.000048,"Джамп кабель 1/4 2м, MQ4(Male)/4хN(Male) (MQ4SF2MN50SM) SWAP",штука,96,66,30,",34",",34",",05",",00578",",55488",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,79,238.022.000048,"Джамп кабель 1/4 2м, MQ4(Male)/4хN(Male) (MQ4SF2MN50SM) SWAP",штука,11,0,11,",34",",34",",05",",00578",",06358",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,80,238.022.000048,"Джамп кабель 1/4 2м, MQ4(Male)/4хN(Male) (MQ4SF2MN50SM) SWAP",штука,8,0,8,",34",",34",",05",",00578",",04624",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,81,238.022.000048,"Джамп кабель 1/4 2м, MQ4(Male)/4хN(Male) (MQ4SF2MN50SM) SWAP",штука,8,0,8,",34",",34",",05",",00578",",04624",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,82,238.022.000048,"Джамп кабель 1/4 2м, MQ4(Male)/4хN(Male) (MQ4SF2MN50SM) SWAP",штука,8,0,8,",34",",34",",05",",00578",",04624",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,83,238.022.000048,"Джамп кабель 1/4 2м, MQ4(Male)/4хN(Male) (MQ4SF2MN50SM) SWAP",штука,11,0,11,",34",",34",",05",",00578",",06358",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,84,238.022.000048,"Джамп кабель 1/4 2м, MQ4(Male)/4хN(Male) (MQ4SF2MN50SM) SWAP",штука,8,0,8,",34",",34",",05",",00578",",04624",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,85,238.022.000049,"Джамп кабель 1/4 2м, MQ5(Male)/5хN(Male) (MQ5SF2MN50SM) SWAP",штука,136,55,81,",4",",4",",07",",0112","1,5232",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,86,238.022.000049,"Джамп кабель 1/4 2м, MQ5(Male)/5хN(Male) (MQ5SF2MN50SM) SWAP",штука,15,0,15,",4",",4",",07",",0112",",168",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,87,238.022.000049,"Джамп кабель 1/4 2м, MQ5(Male)/5хN(Male) (MQ5SF2MN50SM) SWAP",штука,10,0,10,",4",",4",",07",",0112",",112",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,88,238.022.000049,"Джамп кабель 1/4 2м, MQ5(Male)/5хN(Male) (MQ5SF2MN50SM) SWAP",штука,13,0,13,",4",",4",",07",",0112",",1456",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,89,238.022.000049,"Джамп кабель 1/4 2м, MQ5(Male)/5хN(Male) (MQ5SF2MN50SM) SWAP",штука,10,0,10,",4",",4",",07",",0112",",112",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,90,238.022.000049,"Джамп кабель 1/4 2м, MQ5(Male)/5хN(Male) (MQ5SF2MN50SM) SWAP",штука,15,0,15,",4",",4",",07",",0112",",168",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,91,238.022.000049,"Джамп кабель 1/4 2м, MQ5(Male)/5хN(Male) (MQ5SF2MN50SM) SWAP",штука,13,0,13,",4",",4",",07",",0112",",1456",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,106,213.346.001486,Коннектор Huawei N-Male для сверхгибкого фидера 1/2 (GM-ANT FED-1/2),штука,64,61,3,",1",",05",",05",",00025",",016",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,155,216.346.001843,"Лента изоляционная белая ПВХ 19х0.13мм, 10м (21101322)",штука,1499,1341,158,",61",",44",",43",",000284968",",427167032",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,156,216.346.001843,"Лента изоляционная белая ПВХ 19х0.13мм, 10м (21101322)",штука,164,0,164,",61",",44",",43",",000284968",",046734752",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,157,216.346.001843,"Лента изоляционная белая ПВХ 19х0.13мм, 10м (21101322)",штука,117,0,117,",61",",44",",43",",000284968",",033341256",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,158,216.346.001843,"Лента изоляционная белая ПВХ 19х0.13мм, 10м (21101322)",штука,140,0,140,",61",",44",",43",",000284968",",03989552",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,159,216.346.001843,"Лента изоляционная белая ПВХ 19х0.13мм, 10м (21101322)",штука,117,0,117,",61",",44",",43",",000284968",",033341256",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,160,216.346.001843,"Лента изоляционная белая ПВХ 19х0.13мм, 10м (21101322)",штука,164,0,164,",61",",44",",43",",000284968",",046734752",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,161,216.346.001843,"Лента изоляционная белая ПВХ 19х0.13мм, 10м (21101322)",штука,140,0,140,",61",",44",",43",",000284968",",03989552",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,162,243.022.000210,"Кабель мониторинга и аварий Huawei для соединения DPU и Lampsite, Small Cell, BBU5900, 5м, категория 6, коннектор DB15 (MACable4PR5M)",штука,18,0,18,3,",005",",005",",000075",",00135",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,163,243.022.000210,"Кабель мониторинга и аварий Huawei для соединения DPU и Lampsite, Small Cell, BBU5900, 5м, категория 6, коннектор DB15 (MACable4PR5M)",штука,2,0,2,3,",005",",005",",000075",",00015",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,164,243.022.000210,"Кабель мониторинга и аварий Huawei для соединения DPU и Lampsite, Small Cell, BBU5900, 5м, категория 6, коннектор DB15 (MACable4PR5M)",штука,2,0,2,3,",005",",005",",000075",",00015",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,165,243.022.000210,"Кабель мониторинга и аварий Huawei для соединения DPU и Lampsite, Small Cell, BBU5900, 5м, категория 6, коннектор DB15 (MACable4PR5M)",штука,2,0,2,3,",005",",005",",000075",",00015",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,166,243.022.000210,"Кабель мониторинга и аварий Huawei для соединения DPU и Lampsite, Small Cell, BBU5900, 5м, категория 6, коннектор DB15 (MACable4PR5M)",штука,2,0,2,3,",005",",005",",000075",",00015",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,167,243.022.000210,"Кабель мониторинга и аварий Huawei для соединения DPU и Lampsite, Small Cell, BBU5900, 5м, категория 6, коннектор DB15 (MACable4PR5M)",штука,2,0,2,3,",005",",005",",000075",",00015",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,168,243.022.000210,"Кабель мониторинга и аварий Huawei для соединения DPU и Lampsite, Small Cell, BBU5900, 5м, категория 6, коннектор DB15 (MACable4PR5M)",штука,2,0,2,3,",005",",005",",000075",",00015",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,176,144.022.000798,"Комплект монтажный инженерный Huawei, крепление на стену DPS Blade(DKBA41273984)",штука,9,0,9,",03",",03",",03",",000027",",000243",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,177,144.022.000798,"Комплект монтажный инженерный Huawei, крепление на стену DPS Blade(DKBA41273984)",штука,1,0,1,",03",",03",",03",",000027",",000027",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,178,144.022.000798,"Комплект монтажный инженерный Huawei, крепление на стену DPS Blade(DKBA41273984)",штука,1,0,1,",03",",03",",03",",000027",",000027",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,179,144.022.000798,"Комплект монтажный инженерный Huawei, крепление на стену DPS Blade(DKBA41273984)",штука,1,0,1,",03",",03",",03",",000027",",000027",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,180,144.022.000798,"Комплект монтажный инженерный Huawei, крепление на стену DPS Blade(DKBA41273984)",штука,1,0,1,",03",",03",",03",",000027",",000027",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,181,144.022.000798,"Комплект монтажный инженерный Huawei, крепление на стену DPS Blade(DKBA41273984)",штука,1,0,1,",03",",03",",03",",000027",",000027",304,15.12.2020
2020-03-05,2020-04-09,D190000019_1,182,144.022.000798,"Комплект монтажный инженерный Huawei, крепление на стену DPS Blade(DKBA41273984)",штука,1,0,1,",03",",03",",03",",000027",",000027",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,3,310.022.000715,Блок питания и мониторинга окружающей среды для BBU -48В (WD2M0UPEUE00) ЗУ,штука,4,0,4,",36",",15",",12",",00648",",02592",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,4,310.022.000677,Вентилятор Huawei 2U FAN Module (WD2M00FANF00SP) ЗУ,штука,1,0,1,",5",",25",",15",",01875",",01875",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,5,310.022.000678,Блок видеочастотный BBU5900 Box (WD2M0BBU5900) ЗУ,штука,1,0,1,",275",",57",",625",",09796875",",09796875",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,11,310.022.000692,"Приемопередатчик оптический Huawei SFP+, 1310нм, 10.3125Гбит/с, -8.2дБм, 0.5дБм, -14.4дБм, LC, SM, 10км (OSX010N05) ЗУ",штука,6,0,6,",05",",02",",03",",00003",",00018",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,18,310.022.000715,Блок питания и мониторинга окружающей среды для BBU -48В (WD2M0UPEUE00) ЗУ,штука,5,0,5,",36",",15",",12",",00648",",0324",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,19,310.022.000677,Вентилятор Huawei 2U FAN Module (WD2M00FANF00SP) ЗУ,штука,2,0,2,",5",",25",",15",",01875",",0375",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,20,310.022.000678,Блок видеочастотный BBU5900 Box (WD2M0BBU5900) ЗУ,штука,2,0,2,",275",",57",",625",",09796875",",1959375",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,24,310.022.000683,Плата обработки основной частоты универсальная UBBPg1 (WD22UBBPg1) ЗУ,штука,1,0,1,",4",",22",",13",",01144",",01144",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,27,310.022.000692,"Приемопередатчик оптический Huawei SFP+, 1310нм, 10.3125Гбит/с, -8.2дБм, 0.5дБм, -14.4дБм, LC, SM, 10км (OSX010N05) ЗУ",штука,6,0,6,",05",",02",",03",",00003",",00018",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,35,310.022.000715,Блок питания и мониторинга окружающей среды для BBU -48В (WD2M0UPEUE00) ЗУ,штука,4,0,4,",36",",15",",12",",00648",",02592",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,36,310.022.000677,Вентилятор Huawei 2U FAN Module (WD2M00FANF00SP) ЗУ,штука,2,0,2,",5",",25",",15",",01875",",0375",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,37,310.022.000678,Блок видеочастотный BBU5900 Box (WD2M0BBU5900) ЗУ,штука,2,0,2,",275",",57",",625",",09796875",",1959375",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,46,310.022.000692,"Приемопередатчик оптический Huawei SFP+, 1310нм, 10.3125Гбит/с, -8.2дБм, 0.5дБм, -14.4дБм, LC, SM, 10км (OSX010N05) ЗУ",штука,6,0,6,",05",",02",",03",",00003",",00018",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,56,310.022.000715,Блок питания и мониторинга окружающей среды для BBU -48В (WD2M0UPEUE00) ЗУ,штука,20,0,20,",36",",15",",12",",00648",",1296",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,57,310.022.000677,Вентилятор Huawei 2U FAN Module (WD2M00FANF00SP) ЗУ,штука,12,0,12,",5",",25",",15",",01875",",225",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,58,310.022.000678,Блок видеочастотный BBU5900 Box (WD2M0BBU5900) ЗУ,штука,11,0,11,",275",",57",",625",",09796875","1,07765625",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,64,310.022.000683,Плата обработки основной частоты универсальная UBBPg1 (WD22UBBPg1) ЗУ,штука,5,0,5,",4",",22",",13",",01144",",0572",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,72,310.022.000716,"Джамп-кабель 1/2"" сверхгибкий 7/16 male-7/16 male, 3м (GM1P000JMP05) ЗУ",штука,39,0,39,3,",013",",013",",000507",",019773",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,74,310.022.000692,"Приемопередатчик оптический Huawei SFP+, 1310нм, 10.3125Гбит/с, -8.2дБм, 0.5дБм, -14.4дБм, LC, SM, 10км (OSX010N05) ЗУ",штука,31,0,31,",05",",02",",03",",00003",",00093",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,78,310.022.000668,"Приемопередатчик оптический Huawei расширенный SFP, 1310нм, 1.25Гбит/с, -3дБм, -9.5дБм, -20дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx) ЗУ",штука,37,0,37,",11",",03",",03",",000099",",003663",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,81,310.022.000715,Блок питания и мониторинга окружающей среды для BBU -48В (WD2M0UPEUE00) ЗУ,штука,5,0,5,",36",",15",",12",",00648",",0324",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,85,310.022.000692,"Приемопередатчик оптический Huawei SFP+, 1310нм, 10.3125Гбит/с, -8.2дБм, 0.5дБм, -14.4дБм, LC, SM, 10км (OSX010N05) ЗУ",штука,6,0,6,",05",",02",",03",",00003",",00018",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,91,310.022.000715,Блок питания и мониторинга окружающей среды для BBU -48В (WD2M0UPEUE00) ЗУ,штука,3,0,3,",36",",15",",12",",00648",",01944",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,95,310.022.000692,"Приемопередатчик оптический Huawei SFP+, 1310нм, 10.3125Гбит/с, -8.2дБм, 0.5дБм, -14.4дБм, LC, SM, 10км (OSX010N05) ЗУ",штука,6,0,6,",05",",02",",03",",00003",",00018",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,99,310.022.000668,"Приемопередатчик оптический Huawei расширенный SFP, 1310нм, 1.25Гбит/с, -3дБм, -9.5дБм, -20дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx) ЗУ",штука,6,3,3,",11",",03",",03",",000099",",000594",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,100,310.022.000715,Блок питания и мониторинга окружающей среды для BBU -48В (WD2M0UPEUE00) ЗУ,штука,5,0,5,",36",",15",",12",",00648",",0324",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,102,310.022.000723,Выносной радиоблок стандарта 1800 RRU5905 (WD5M185909GB),штука,1,0,1,",74",",42",",19",",059052",",059052",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,104,310.022.000692,"Приемопередатчик оптический Huawei SFP+, 1310нм, 10.3125Гбит/с, -8.2дБм, 0.5дБм, -14.4дБм, LC, SM, 10км (OSX010N05) ЗУ",штука,6,0,6,",05",",02",",03",",00003",",00018",304,15.12.2020
2020-04-27,2020-05-18,D190000019_1,108,310.022.000668,"Приемопередатчик оптический Huawei расширенный SFP, 1310нм, 1.25Гбит/с, -3дБм, -9.5дБм, -20дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx) ЗУ",штука,6,0,6,",11",",03",",03",",000099",",000594",304,15.12.2020
2020-04-13,2020-04-20,D190000019_1,1,144.022.000795,Модуль распределения питания Huawei DPU40 DC до 2кВт (DPU40D-N06A3),штука,96,65,31,",4",",65",",37",",0962","9,2352",304,30.03.2021
2020-04-13,2020-04-20,D190000019_1,2,144.022.000796,Комплект вспомогательных материалов Huawei для Blade Power (ACCPackage27),штука,96,5,91,",03",",03",",03",",000027",",002592",304,30.03.2021
2020-04-13,2020-04-20,D190000019_1,3,248.346.000210,"Кабель питания Huawei 300/500В, 3х2.5мм2, черная оболочка (C3025BK00)",Метр,6720,1046,5674,",175",",365",",375",",000119766",",80482752",304,30.03.2021
2020-04-13,2020-04-20,D190000019_1,4,243.022.000210,"Кабель мониторинга и аварий Huawei для соединения DPU и Lampsite, Small Cell, BBU5900, 5м, категория 6, коннектор DB15 (MACable4PR5M)",штука,96,5,91,3,",005",",005",",000075",",0072",304,30.03.2021
2020-04-13,2020-04-20,D190000019_1,5,243.022.000211,"Кабель мониторинга и аварий Huawei для соединения DPU и BBU5900, 5м, категория 6, коннектор DB15 (MACable4PR5M-002)",штука,96,5,91,3,",005",",005",",000075",",0072",304,30.03.2021
2020-04-13,2020-04-20,D190000019_1,6,144.022.000797,"Комплект вспомогательных материалов заземления в составе: зажим, пластина, винт М8, кабель 5м (ECLIP02)",штука,96,5,91,",1",",1",",05",",0005",",048",304,30.03.2021
2020-04-13,2020-04-20,D190000019_1,7,144.022.000798,"Комплект монтажный инженерный Huawei, крепление на стену DPS Blade(DKBA41273984)",штука,96,5,91,",03",",03",",03",",000027",",002592",304,30.03.2021
2020-04-13,2020-04-20,D190000019_1,8,213.346.001482,Крепление для установки DPU Huawei торцевой стороной (DKBA68637217.ASM),штука,96,5,91,",12",",12",",12",",001728",",165888",304,30.03.2021
2020-04-13,2020-04-20,D190000019_1,9,213.346.001483,"Крепление для установки DPU Huawei, адаптер (DKBA68637225.ASM)",штука,96,5,91,",12",",12",",12",",001728",",165888",304,30.03.2021
2020-04-13,2020-04-29,D190000019_1,7,144.022.000840,Универсальная плата обработки основной частоты UBBPg1 (WD22UBBPg1) SWAP,штука,2,0,2,",4",",218",",12",",010464",",020928",304,15.12.2020
2020-04-13,2020-04-29,D190000019_1,8,144.022.000613,"Выносной радиомодуль RRU5909 for Multi-Mode 900МГц, 2х60Вт (WD5M9E5909GB)",Комплект,6,0,6,",19",",42",",75",",05985",",3591",304,15.12.2020
2020-04-20,2020-04-29,D190000019_1,1,144.022.000693,"Блок BBU5900A внешнего исполнения, питание DC (WD2B1BBU9)",штука,1,0,1,",3",",6",",8",",144",",144",304,15.12.2020
2020-04-20,2020-04-29,D190000019_1,3,144.022.000693,"Блок BBU5900A внешнего исполнения, питание DC (WD2B1BBU9)",штука,1,0,1,",3",",6",",8",",144",",144",304,15.12.2020
