Номер строки в заказе/релизе,Код позиции ЕНС,Наименование позиции ЕНС,Единица измерения,Заказанное количество,Полученное количество,В пути,Длина,Ширина,Высота,Объём,Общий объём,Организация-получатель,Дата исполнения заказа/договора,Группа,Наименовнание группы,БС,Месяц,Год
44.0,213.346.001486,Коннектор Huawei N-Male для сверхгибкого фидера 1/2 (GM-ANT FED-1/2),штука,4.0,0.0,4.0,",1",",05",",05",",00025",0.001,304,15.12.2020,213.0,АФУ,0,12.0,2020.0
45.0,213.346.001486,Коннектор Huawei N-Male для сверхгибкого фидера 1/2 (GM-ANT FED-1/2),штука,2.0,0.0,2.0,",1",",05",",05",",00025",0.0005,304,15.12.2020,213.0,АФУ,0,12.0,2020.0
46.0,213.346.001486,Коннектор Huawei N-Male для сверхгибкого фидера 1/2 (GM-ANT FED-1/2),штука,3.0,0.0,3.0,",1",",05",",05",",00025",0.00075,304,15.12.2020,213.0,АФУ,0,12.0,2020.0
47.0,213.346.001486,Коннектор Huawei N-Male для сверхгибкого фидера 1/2 (GM-ANT FED-1/2),штука,2.0,0.0,2.0,",1",",05",",05",",00025",0.0005,304,15.12.2020,213.0,АФУ,0,12.0,2020.0
48.0,213.346.001486,Коннектор Huawei N-Male для сверхгибкого фидера 1/2 (GM-ANT FED-1/2),штука,4.0,0.0,4.0,",1",",05",",05",",00025",0.001,304,15.12.2020,213.0,АФУ,0,12.0,2020.0
49.0,213.346.001486,Коннектор Huawei N-Male для сверхгибкого фидера 1/2 (GM-ANT FED-1/2),штука,3.0,0.0,3.0,",1",",05",",05",",00025",0.00075,304,15.12.2020,213.0,АФУ,0,12.0,2020.0
1.0,244.022.000006,"Кабель оптический SM, UPC DLC-DLC, 40м (FDLCUPC04)",штука,640.0,0.0,640.0,",1233",",1233",",1233",",001874516",1.19969024,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
2.0,244.022.000006,"Кабель оптический SM, UPC DLC-DLC, 40м (FDLCUPC04)",штука,70.0,0.0,70.0,",1233",",1233",",1233",",001874516",0.13121612,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
3.0,244.022.000006,"Кабель оптический SM, UPC DLC-DLC, 40м (FDLCUPC04)",штука,50.0,0.0,50.0,",1233",",1233",",1233",",001874516",0.0937258,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
4.0,244.022.000006,"Кабель оптический SM, UPC DLC-DLC, 40м (FDLCUPC04)",штука,60.0,0.0,60.0,",1233",",1233",",1233",",001874516",0.11247096,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
5.0,244.022.000006,"Кабель оптический SM, UPC DLC-DLC, 40м (FDLCUPC04)",штука,50.0,0.0,50.0,",1233",",1233",",1233",",001874516",0.0937258,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
6.0,244.022.000006,"Кабель оптический SM, UPC DLC-DLC, 40м (FDLCUPC04)",штука,70.0,0.0,70.0,",1233",",1233",",1233",",001874516",0.13121612,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
7.0,244.022.000006,"Кабель оптический SM, UPC DLC-DLC, 40м (FDLCUPC04)",штука,60.0,0.0,60.0,",1233",",1233",",1233",",001874516",0.11247096,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
15.0,244.022.000024,"Кабель оптический SM, UPC DLC-DLC, 30м (FDLCUPC03)",штука,64.0,25.0,39.0,",37",",37",",21",",0057498",0.3679872,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
16.0,244.022.000024,"Кабель оптический SM, UPC DLC-DLC, 30м (FDLCUPC03)",штука,7.0,0.0,7.0,",37",",37",",21",",0057498",0.0402486,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
17.0,244.022.000024,"Кабель оптический SM, UPC DLC-DLC, 30м (FDLCUPC03)",штука,5.0,0.0,5.0,",37",",37",",21",",0057498",0.028749,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
18.0,244.022.000024,"Кабель оптический SM, UPC DLC-DLC, 30м (FDLCUPC03)",штука,6.0,0.0,6.0,",37",",37",",21",",0057498",0.0344988,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
19.0,244.022.000024,"Кабель оптический SM, UPC DLC-DLC, 30м (FDLCUPC03)",штука,5.0,0.0,5.0,",37",",37",",21",",0057498",0.028749,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
20.0,244.022.000024,"Кабель оптический SM, UPC DLC-DLC, 30м (FDLCUPC03)",штука,7.0,0.0,7.0,",37",",37",",21",",0057498",0.0402486,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
21.0,244.022.000024,"Кабель оптический SM, UPC DLC-DLC, 30м (FDLCUPC03)",штука,6.0,0.0,6.0,",37",",37",",21",",0057498",0.0344988,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
22.0,244.022.000025,"Кабель оптический SM, UPC DLC-DLC, 70м (FDLCUPC07)",штука,64.0,16.0,48.0,",37",",36",",37",",016428",1.051392,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
23.0,244.022.000025,"Кабель оптический SM, UPC DLC-DLC, 70м (FDLCUPC07)",штука,7.0,0.0,7.0,",37",",36",",37",",016428",0.114996,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
24.0,244.022.000025,"Кабель оптический SM, UPC DLC-DLC, 70м (FDLCUPC07)",штука,5.0,0.0,5.0,",37",",36",",37",",016428",0.08214,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
25.0,244.022.000025,"Кабель оптический SM, UPC DLC-DLC, 70м (FDLCUPC07)",штука,6.0,0.0,6.0,",37",",36",",37",",016428",0.098568,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
26.0,244.022.000025,"Кабель оптический SM, UPC DLC-DLC, 70м (FDLCUPC07)",штука,5.0,0.0,5.0,",37",",36",",37",",016428",0.08214,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
27.0,244.022.000025,"Кабель оптический SM, UPC DLC-DLC, 70м (FDLCUPC07)",штука,7.0,0.0,7.0,",37",",36",",37",",016428",0.114996,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
28.0,244.022.000025,"Кабель оптический SM, UPC DLC-DLC, 70м (FDLCUPC07)",штука,6.0,0.0,6.0,",37",",36",",37",",016428",0.098568,304,15.12.2020,244.0,АФУ,0,12.0,2020.0
29.0,238.022.000040,"Джамп-кабель 1/2"" сверхгибкий 7/16 male-7/16 male, 10м (GM1P000JMP06)",штука,4.0,0.0,4.0,",38",",38",",07",",010108",0.040432,304,15.12.2020,238.0,АФУ,0,12.0,2020.0
86.0,216.346.001901,"Наклейка Huawei DKBA8.807.0202, cBTS3612, 40х20мм (29040907)",штука,960.0,6.0,954.0,",25",",2",",0002",",00001",0.0096,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
87.0,216.346.001901,"Наклейка Huawei DKBA8.807.0202, cBTS3612, 40х20мм (29040907)",штука,105.0,0.0,105.0,",25",",2",",0002",",00001",0.00105,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
88.0,216.346.001901,"Наклейка Huawei DKBA8.807.0202, cBTS3612, 40х20мм (29040907)",штука,75.0,0.0,75.0,",25",",2",",0002",",00001",0.00075,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
89.0,216.346.001901,"Наклейка Huawei DKBA8.807.0202, cBTS3612, 40х20мм (29040907)",штука,90.0,0.0,90.0,",25",",2",",0002",",00001",0.0009,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
90.0,216.346.001901,"Наклейка Huawei DKBA8.807.0202, cBTS3612, 40х20мм (29040907)",штука,75.0,0.0,75.0,",25",",2",",0002",",00001",0.00075,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
91.0,216.346.001901,"Наклейка Huawei DKBA8.807.0202, cBTS3612, 40х20мм (29040907)",штука,105.0,0.0,105.0,",25",",2",",0002",",00001",0.00105,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
92.0,216.346.001901,"Наклейка Huawei DKBA8.807.0202, cBTS3612, 40х20мм (29040907)",штука,90.0,0.0,90.0,",25",",2",",0002",",00001",0.0009,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
95.0,144.022.000716,Антенна GPS/GLONASS Huawei без инсталляции (GPS/Glonass ant),штука,25.0,9.0,16.0,",3",",2",",2",",012",0.3,304,15.12.2020,144.0,БС,0,12.0,2020.0
96.0,144.022.000716,Антенна GPS/GLONASS Huawei без инсталляции (GPS/Glonass ant),штука,30.0,0.0,30.0,",3",",2",",2",",012",0.36,304,15.12.2020,144.0,БС,0,12.0,2020.0
97.0,144.022.000716,Антенна GPS/GLONASS Huawei без инсталляции (GPS/Glonass ant),штука,25.0,0.0,25.0,",3",",2",",2",",012",0.3,304,15.12.2020,144.0,БС,0,12.0,2020.0
98.0,144.022.000716,Антенна GPS/GLONASS Huawei без инсталляции (GPS/Glonass ant),штука,35.0,0.0,35.0,",3",",2",",2",",012",0.42,304,15.12.2020,144.0,БС,0,12.0,2020.0
99.0,144.022.000716,Антенна GPS/GLONASS Huawei без инсталляции (GPS/Glonass ant),штука,30.0,0.0,30.0,",3",",2",",2",",012",0.36,304,15.12.2020,144.0,БС,0,12.0,2020.0
1.0,145.022.000064,Антенна Huawei ADU4518R1v06 SWAP,штука,3.0,0.0,3.0,"1,68",",34","1,55",",88536",2.65608,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
5.0,145.022.000052,Антенна направленная Huawei APE4518R19v06 SWAP,штука,10.0,0.0,10.0,"2,24",",43",",22",",211904",2.11904,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
7.0,145.022.000052,Антенна направленная Huawei APE4518R19v06 SWAP,штука,26.0,17.0,9.0,"2,24",",43",",22",",211904",5.509504,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
10.0,145.022.000046,Антенна BTS Huawei AQU4518R9v06 SWAP,штука,16.0,0.0,16.0,"2,88",",415",",245",",292824",4.685184,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
12.0,145.022.000064,Антенна Huawei ADU4518R1v06 SWAP,штука,3.0,0.0,3.0,"1,68",",34","1,55",",88536",2.65608,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
14.0,145.022.000060,Антенна Huawei (APE4518R37v06) SWAP,штука,233.0,25.0,208.0,"1,79",",435",",24",",186876",43.542108,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
15.0,145.022.000069,Антенна BTS Huawei AQU4518R21v06 SWAP,штука,67.0,0.0,67.0,",19",",51","1,84",",178296",11.945832,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
18.0,145.022.000052,Антенна направленная Huawei APE4518R19v06 SWAP,штука,315.0,258.0,57.0,"2,24",",43",",22",",211904",66.74976,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
19.0,145.022.000070,Антенна BTS Huawei APE4516R1v06 SWAP,штука,21.0,0.0,21.0,",24",",42","2,35",",23688",4.97448,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
23.0,145.022.000069,Антенна BTS Huawei AQU4518R21v06 SWAP,штука,31.0,0.0,31.0,",19",",51","1,84",",178296",5.527176,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
25.0,145.022.000052,Антенна направленная Huawei APE4518R19v06 SWAP,штука,104.0,90.0,14.0,"2,24",",43",",22",",211904",22.038016,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
1.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,384.0,259.0,125.0,",07",",01",",01",",000007",0.002688,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
2.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,42.0,0.0,42.0,",07",",01",",01",",000007",0.000294,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
3.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,30.0,0.0,30.0,",07",",01",",01",",000007",0.00021,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
4.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,36.0,0.0,36.0,",07",",01",",01",",000007",0.000252,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
5.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,30.0,0.0,30.0,",07",",01",",01",",000007",0.00021,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
6.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,42.0,0.0,42.0,",07",",01",",01",",000007",0.000294,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
7.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,36.0,0.0,36.0,",07",",01",",01",",000007",0.000252,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
36.0,216.346.001836,Этикетка для маркировки оборудования DBS Huawei (29080220),штука,960.0,867.0,93.0,",18",",26",",05",",00234",2.2464,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
37.0,216.346.001836,Этикетка для маркировки оборудования DBS Huawei (29080220),штука,105.0,0.0,105.0,",18",",26",",05",",00234",0.2457,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
38.0,216.346.001836,Этикетка для маркировки оборудования DBS Huawei (29080220),штука,75.0,0.0,75.0,",18",",26",",05",",00234",0.1755,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
39.0,216.346.001836,Этикетка для маркировки оборудования DBS Huawei (29080220),штука,90.0,0.0,90.0,",18",",26",",05",",00234",0.2106,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
40.0,216.346.001836,Этикетка для маркировки оборудования DBS Huawei (29080220),штука,75.0,0.0,75.0,",18",",26",",05",",00234",0.1755,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
41.0,216.346.001836,Этикетка для маркировки оборудования DBS Huawei (29080220),штука,105.0,0.0,105.0,",18",",26",",05",",00234",0.2457,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
42.0,216.346.001836,Этикетка для маркировки оборудования DBS Huawei (29080220),штука,90.0,0.0,90.0,",18",",26",",05",",00234",0.2106,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
65.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,210.0,160.0,50.0,",01",",1",",15",",00015",0.0315,304,15.12.2020,144.0,БС,0,12.0,2020.0
66.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,150.0,0.0,150.0,",01",",1",",15",",00015",0.0225,304,15.12.2020,144.0,БС,0,12.0,2020.0
67.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,180.0,0.0,180.0,",01",",1",",15",",00015",0.027,304,15.12.2020,144.0,БС,0,12.0,2020.0
68.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,150.0,0.0,150.0,",01",",1",",15",",00015",0.0225,304,15.12.2020,144.0,БС,0,12.0,2020.0
69.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,210.0,0.0,210.0,",01",",1",",15",",00015",0.0315,304,15.12.2020,144.0,БС,0,12.0,2020.0
70.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,180.0,0.0,180.0,",01",",1",",15",",00015",0.027,304,15.12.2020,144.0,БС,0,12.0,2020.0
73.0,216.346.001838,Трубка термоусадочная 110-120мм Huawei (28010521),штука,2500.0,0.0,2500.0,",04",",02",",02",",000016",0.04,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
75.0,216.346.001838,Трубка термоусадочная 110-120мм Huawei (28010521),штука,2500.0,0.0,2500.0,",04",",02",",02",",000016",0.04,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
84.0,243.022.000206,Кабель интерфейсный AISG Huawei для RET c разъемом DB9m 5м (ACOAISG02),штука,360.0,359.0,1.0,",2",",2",",2",",008",2.88,304,15.12.2020,243.0,АФУ,0,12.0,2020.0
1.0,145.022.000046,Антенна BTS Huawei AQU4518R9v06 SWAP,штука,3.0,0.0,3.0,"2,88",",415",",245",",292824",0.878472,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
4.0,145.022.000075,Антенна BTS Huawei ADU4518R0v06 SWAP,штука,25.0,0.0,25.0,"2,8",",3",",18",",1512",3.78,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
6.0,145.022.000060,Антенна Huawei (APE4518R37v06) SWAP,штука,68.0,16.0,52.0,"1,79",",435",",24",",186876",12.707568,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
7.0,145.022.000069,Антенна BTS Huawei AQU4518R21v06 SWAP,штука,71.0,0.0,71.0,",19",",51","1,84",",178296",12.659016,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
10.0,145.022.000052,Антенна направленная Huawei APE4518R19v06 SWAP,штука,150.0,64.0,86.0,"2,24",",43",",22",",211904",31.7856,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
11.0,145.022.000070,Антенна BTS Huawei APE4516R1v06 SWAP,штука,41.0,0.0,41.0,",24",",42","2,35",",23688",9.71208,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
12.0,145.022.000076,Антенна BTS Huawei ASI4518R39v06 SWAP,штука,25.0,0.0,25.0,2,",5",",4",",4",10,304,15.12.2020,145.0,Антенны БТС,0,12.0,2020.0
1.0,144.022.000660,Видеочастотный блок BBU5900 Box (WD2M0BBU5900),штука,207.0,193.0,14.0,",3",",8",",6",",144",29.808,304,15.12.2020,144.0,БС,модули/блоки,12.0,2020.0
10.0,144.022.000948,Выносной радиоблок стандарта 900М RRU5909 (WD5M9E5909GB) SWAP,штука,271.0,261.0,10.0,",7",",48",",22",",07392",20.03232,304,15.12.2020,144.0,БС,0,12.0,2020.0
12.0,144.022.000957,Выносной радиоблок стандарта LTE2600TDD RRU5258 (WD5MPRU8I9C0) SWAP,штука,85.0,73.0,12.0,",69",",52",",33",",118404",10.06434,304,15.12.2020,144.0,БС,0,12.0,2020.0
1.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,128.0,80.0,48.0,",07",",01",",01",",000007",0.000896,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
2.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,14.0,0.0,14.0,",07",",01",",01",",000007",9.8e-05,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
3.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,10.0,0.0,10.0,",07",",01",",01",",000007",7e-05,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
4.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,12.0,0.0,12.0,",07",",01",",01",",000007",8.4e-05,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
5.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,10.0,0.0,10.0,",07",",01",",01",",000007",7e-05,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
6.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,14.0,0.0,14.0,",07",",01",",01",",000007",9.8e-05,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
7.0,249.022.000543,"Трансивер Huawei Low Speed eSFP, 1310нм, 1.25Гбит/с, -9дБм, -3дБм, -19дБм, LC, 10км (eSFP(S)-1310nm-1000Base-Lx)",штука,12.0,0.0,12.0,",07",",01",",01",",000007",8.4e-05,304,15.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
76.0,238.022.000037,Кабель коаксиальный RF 1/2 алюминиевый (GM-JMP-1),штука,700.0,211.0,489.0,",48",",48",",14",",0010752",0.75264,304,15.12.2020,238.0,АФУ,0,12.0,2020.0
77.0,238.022.000037,Кабель коаксиальный RF 1/2 алюминиевый (GM-JMP-1),штука,600.0,0.0,600.0,",48",",48",",14",",0010752",0.64512,304,15.12.2020,238.0,АФУ,0,12.0,2020.0
85.0,144.022.000728,Кабель питания 2м для подключения BBU5900 (04152227-003),штука,192.0,112.0,80.0,",0076",",0076",",0068",",000000393",7.5456e-05,304,15.12.2020,144.0,БС,0,12.0,2020.0
87.0,144.022.000728,Кабель питания 2м для подключения BBU5900 (04152227-003),штука,15.0,0.0,15.0,",0076",",0076",",0068",",000000393",5.895e-06,304,15.12.2020,144.0,БС,0,12.0,2020.0
88.0,144.022.000728,Кабель питания 2м для подключения BBU5900 (04152227-003),штука,18.0,0.0,18.0,",0076",",0076",",0068",",000000393",7.074e-06,304,15.12.2020,144.0,БС,0,12.0,2020.0
89.0,144.022.000728,Кабель питания 2м для подключения BBU5900 (04152227-003),штука,15.0,0.0,15.0,",0076",",0076",",0068",",000000393",5.895e-06,304,15.12.2020,144.0,БС,0,12.0,2020.0
90.0,144.022.000728,Кабель питания 2м для подключения BBU5900 (04152227-003),штука,21.0,0.0,21.0,",0076",",0076",",0068",",000000393",8.253e-06,304,15.12.2020,144.0,БС,0,12.0,2020.0
91.0,144.022.000728,Кабель питания 2м для подключения BBU5900 (04152227-003),штука,18.0,8.0,10.0,",0076",",0076",",0068",",000000393",7.074e-06,304,15.12.2020,144.0,БС,0,12.0,2020.0
114.0,144.022.000711,Крепление DKBA4.070.2931MX для монтажа RRU: пластина без прорезей и без фиксирующего болта (21150760),Комплект,140.0,17.0,123.0,",35",",375",",375",",005091821",0.71285494,304,15.12.2020,144.0,БС,0,12.0,2020.0
115.0,144.022.000711,Крепление DKBA4.070.2931MX для монтажа RRU: пластина без прорезей и без фиксирующего болта (21150760),Комплект,100.0,0.0,100.0,",35",",375",",375",",005091821",0.5091821,304,15.12.2020,144.0,БС,0,12.0,2020.0
116.0,144.022.000711,Крепление DKBA4.070.2931MX для монтажа RRU: пластина без прорезей и без фиксирующего болта (21150760),Комплект,120.0,0.0,120.0,",35",",375",",375",",005091821",0.61101852,304,15.12.2020,144.0,БС,0,12.0,2020.0
117.0,144.022.000711,Крепление DKBA4.070.2931MX для монтажа RRU: пластина без прорезей и без фиксирующего болта (21150760),Комплект,100.0,0.0,100.0,",35",",375",",375",",005091821",0.5091821,304,15.12.2020,144.0,БС,0,12.0,2020.0
118.0,144.022.000711,Крепление DKBA4.070.2931MX для монтажа RRU: пластина без прорезей и без фиксирующего болта (21150760),Комплект,140.0,0.0,140.0,",35",",375",",375",",005091821",0.71285494,304,15.12.2020,144.0,БС,0,12.0,2020.0
119.0,144.022.000711,Крепление DKBA4.070.2931MX для монтажа RRU: пластина без прорезей и без фиксирующего болта (21150760),Комплект,120.0,0.0,120.0,",35",",375",",375",",005091821",0.61101852,304,15.12.2020,144.0,БС,0,12.0,2020.0
120.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,1280.0,603.0,677.0,",01",",1",",15",",00015",0.192,304,15.12.2020,144.0,БС,0,12.0,2020.0
121.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,140.0,0.0,140.0,",01",",1",",15",",00015",0.021,304,15.12.2020,144.0,БС,0,12.0,2020.0
122.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,100.0,0.0,100.0,",01",",1",",15",",00015",0.015,304,15.12.2020,144.0,БС,0,12.0,2020.0
123.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,120.0,0.0,120.0,",01",",1",",15",",00015",0.018,304,15.12.2020,144.0,БС,0,12.0,2020.0
124.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,100.0,0.0,100.0,",01",",1",",15",",00015",0.015,304,15.12.2020,144.0,БС,0,12.0,2020.0
125.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,140.0,0.0,140.0,",01",",1",",15",",00015",0.021,304,15.12.2020,144.0,БС,0,12.0,2020.0
126.0,144.022.000712,Крепление DKBA8.010.686 для монтажа RRU: пластина с прорезями и с фиксирующим болтом (21150761),Комплект,120.0,0.0,120.0,",01",",1",",15",",00015",0.018,304,15.12.2020,144.0,БС,0,12.0,2020.0
127.0,216.346.001838,Трубка термоусадочная 110-120мм Huawei (28010521),штука,16000.0,15862.0,138.0,",04",",02",",02",",000016",0.256,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
128.0,216.346.001838,Трубка термоусадочная 110-120мм Huawei (28010521),штука,1750.0,1000.0,750.0,",04",",02",",02",",000016",0.028,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
129.0,216.346.001838,Трубка термоусадочная 110-120мм Huawei (28010521),штука,1250.0,0.0,1250.0,",04",",02",",02",",000016",0.02,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
130.0,216.346.001838,Трубка термоусадочная 110-120мм Huawei (28010521),штука,1500.0,0.0,1500.0,",04",",02",",02",",000016",0.024,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
131.0,216.346.001838,Трубка термоусадочная 110-120мм Huawei (28010521),штука,1250.0,0.0,1250.0,",04",",02",",02",",000016",0.02,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
132.0,216.346.001838,Трубка термоусадочная 110-120мм Huawei (28010521),штука,1750.0,0.0,1750.0,",04",",02",",02",",000016",0.028,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
133.0,216.346.001838,Трубка термоусадочная 110-120мм Huawei (28010521),штука,1500.0,0.0,1500.0,",04",",02",",02",",000016",0.024,304,15.12.2020,216.0,АФУ,0,12.0,2020.0
141.0,243.022.000206,Кабель интерфейсный AISG Huawei для RET c разъемом DB9m 5м (ACOAISG02),штука,1280.0,1200.0,80.0,",2",",2",",2",",008",10.24,304,15.12.2020,243.0,АФУ,0,12.0,2020.0
